;t/m jan 2008;t/m jan 2009;t/m jan 2010;t/m jan 2011;t/m jan 2012;t/m jan 2013;t/m jan 2014;t/m jan 2015;t/m jan 2016;t/m jan 2017;t/m jan 2018;t/m jan 2019;t/m jan 2020;t/m jan 2021;t/m jan 2022;t/m jan 2023;t/m jan 2024;t/m jan 2025;;;;;;;
;t/m nov 2008;t/m nov 2009;t/m nov 2010;t/m nov 2011;t/m nov 2012;t/m nov 2013;t/m nov 2014;t/m nov 2015;t/m nov 2016;t/m nov 2017;t/m nov 2018;t/m nov 2019;t/m nov 2020;t/m nov 2021;t/m nov 2022;t/m nov 2023;t/m nov 2024;t/m nov 2025;;;;;;;
Inzagen;2097;4925;2210;4656;5126;5162;5081;7304;8935;10468;11822;10915;8852;15335;15300;14484;18139;18960;;;;;;;
Her inzage;268;589;213;524;488;558;686;748;575;666;782;734;656;1506;2018;1898;2143;2259;;;;;;;
Na inzage;1329;1975;639;1421;1528;1950;2211;2181;1859;2008;2129;1877;1559;2503;2934;2551;2767;3024;;;;;;;
Kadastrale legger;174;423;129;319;279;334;277;301;423;438;465;504;479;541;741;732;817;900;;;;;;;
Verklaring;237;760;260;419;333;520;554;505;637;837;957;633;506;637;557;468;449;548;;;;;;;
Getuigschrift;8;26;2;29;14;32;50;50;34;64;63;104;57;52;21;30;25;13;;;;;;;
;t/m dec 2008;t/m dec 2009;t/m dec 2010;t/m dec 2011;t/m dec 2012;t/m dec 2013;t/m dec 2014;t/m dec 2015;t/m dec 2016;t/m dec 2017;t/m dec 2018;t/m dec 2019;t/m dec 2020;t/m dec 2021;t/m dec 2022;t/m dec 2023;t/m dec 2024;t/m dec 2025;;;;;;;
Inzagen;2097;5341;2210;4975;5482;5162;5761;7304;8935;11218;12835;10915;9879;17072;16249;15510;19573;20333;;;;;;;
Her inzage;268;653;213;574;523;558;751;748;575;729;836;734;754;1713;2199;2147;2384;2512;;;;;;;
Na inzage;1329;2165;639;1587;1678;1950;2461;2181;1859;2185;2329;1877;1763;2796;3227;2876;3087;3409;;;;;;;
Kadastrale legger;174;447;129;337;306;334;298;301;423;471;488;504;506;577;778;772;866;953;;;;;;;
Verklaring;237;781;260;437;344;520;585;505;637;892;1005;633;548;681;586;487;478;588;;;;;;;
Getuigschrift;8;32;2;29;16;32;53;50;34;66;63;104;63;53;22;31;29;13;;;;;;;
